SimTime,SPAD_tester.Anode,SPAD_tester.OUT,SPAD_tester.OUT_$flow,SPAD_tester.VOP,SPAD_tester.VPHOTON,SPAD_tester.net018
1.14267E-07,0.459178015,1.206897341,0,31.2,0,0
1.14269E-07,0.531277769,1.187951727,0,31.2,0,0
1.14273E-07,0.654868207,1.028872087,0,31.2,0,0
1.14277E-07,0.75252996,0.702477526,0,31.2,0,0
1.1428E-07,0.822644498,0.341172325,0,31.2,0,0
1.14283E-07,0.879746073,0.089344861,0,31.2,0,0
1.14286E-07,0.928214115,0.005737485,0,31.2,0,0
1.1429E-07,0.978547886,0.003619982,0,31.2,0,0
1.14293E-07,1.017400014,0.002809581,0,31.2,0,0
1.14297E-07,1.052507667,0.002119086,0,31.2,0,0
1.14305E-07,1.103652979,0.001255253,0,31.2,0,0
1.14321E-07,1.158996504,0.000456375,0,31.2,0,0
1.14342E-07,1.185107053,0.000136342,0,31.2,0,0
1.14368E-07,1.18868162,-6.13E-05,0,31.2,0,0
1.14376E-07,1.191861876,0.000177395,0,31.2,0,0
1.14394E-07,1.191808415,-0.000140845,0,31.2,0,0
1.14402E-07,1.194160463,0.000198124,0,31.2,0,0
1.1442E-07,1.188485648,-0.000294391,0,31.2,0,0
1.14451E-07,1.178274124,0.000131321,0,31.2,0,0
1.1449E-07,1.165681891,-0.000258931,0,31.2,0,0
1.14569E-07,1.140894824,0.000112593,0,31.2,0,0
1.14725E-07,1.09285476,-0.000260356,0,31.2,0,0
1.15039E-07,1.0026258,0.000142106,0,31.2,0,0
1.15195E-07,0.960319247,-0.000273072,0,31.2,0,0
1.15509E-07,0.880885595,0.000349453,0,31.2,0,0
1.15665E-07,0.843652753,9.90E-05,0,31.2,0,0
1.15979E-07,0.773769347,0.002552507,0,31.2,0,0
1.16136E-07,0.741023532,0.004251511,0,31.2,0,0
1.16449E-07,0.679589282,0.016324836,0,31.2,0,0
1.16606E-07,0.65081769,0.026780392,0,31.2,0,0
1.16919E-07,0.596924079,0.086728717,0,31.2,0,0
1.17219E-07,0.549898697,0.33238292,0,31.2,0,0
1.17508E-07,0.508253679,0.738377621,0,31.2,0,0
1.17653E-07,0.488580238,0.907790685,0,31.2,0,0
1.17879E-07,0.459214801,1.086737978,0,31.2,0,0
1.18199E-07,0.420438793,1.153789148,0,31.2,0,0
1.18358E-07,0.402253931,1.166295946,0,31.2,0,0
1.18636E-07,0.372422646,1.181325856,0,31.2,0,0
1.19071E-07,0.329959841,1.191384276,0,31.2,0,0
1.19943E-07,0.258686614,1.198617198,0,31.2,0,0
1.20999E-07,0.192333918,1.199484411,0,31.2,0,0
1.22966E-07,0.109561068,1.200151753,0,31.2,0,0
1.24718E-07,0.066533981,1.199802471,0,31.2,0,0
1.26469E-07,0.040394552,1.20016513,0,31.2,0,0
1.29971E-07,0.020419414,1.199995525,0,31.2,0,0
