SimTime,SETUP.OUT,SETUP.BIT_GEN
1280850.025,0,0
1281650.025,0,0
1283250.025,0,0
1286450.025,0,0
1290000,0,0
1290100,0,0
1290300,0,0
1290700,0,0
1291500,0,0
1293100,0,0
1296300,0,0
1300000,0,0
1300050.025,0,0.50025000050061874
1300100,0,1
1300199.9499999,0,0.99999999999999989
1300399.8499996,0,1
1300799.6499992,0,1
1301599.2499984,0,1
1303198.4499968,0,1
1306396.8499936,0,1
1312793.6499872,0,1
1325000,0,1
1325100,0,0
1325300,0,0
1325700,0,0
1326500,0,0
1328100,0,0
1330000,0,0
1330050.025,0,0
1330100,0,0
1330150.025,0,0
1330250.025,0,0
1330450.025,0,0
1330850.025,0,0
1331650.025,0,0
1333250.025,0,0
1336450.025,0,0
1340000,0,0
1340100,0,0
1340300,0,0
1340700,0,0
1341500,0,0
1343100,0,0
1346300,0,0
1350000,0,0
1350050.025,0,0.50025000050061874
1350100,0,1
1350150.025,0,1
1350250,1,1
1350250.025,1,1
1350450.025,1,1
1350850.025,1,1
1351650.025,1,1
1353250.025,1,1
1356450.025,1,1
1362850.025,1,1
1370000,1,1
1370050.025,1,1
1370100,1,1
1370150.025,1,1
1370250.025,1,1
1370450.025,1,1
1370850.025,1,1
1371650.025,1,1
1373250.025,1,1
1375000,1,1
1375100,1,0
1375300,1,0
1375700,1,0
1376500,1,0
1378100,1,0
1380000,1,0
1380100,1,0
1380300,1,0
1380700,1,0
1381500,1,0
1383100,1,0
1386300,1,0
1390000,1,0
1390050.025,1,0
1390100,1,0
1390150.025,1,0
1390250.025,1,0
1390450.025,1,0
1390850.025,1,0
1391650.025,1,0
1393250.025,1,0
1396450.025,1,0
1400000,1,0
1400050.025,1,0.50025000050061874
1400100,1,1
1400199.9499999,1,0.99999999999999989
1400399.8499996,1,1
1400799.6499992,1,1
1401599.2499984,1,1
1403198.4499968,1,1
1406396.8499936,1,1
1410000,1,1
1410100,1,1
1410300,1,1
1410700,1,1
1411500,1,1
1413100,1,1
1416300,1,1
1422700,1,1
1425000,1,1
1425100,1,0
1425300,1,0
1425700,1,0
1426500,1,0
1428100,1,0
1431300,1,0
1437700,1,0
1450000,1,0
1450050.025,1,0.50025000050061874
1450100,1,1
1450150.025,1,1
1450250.025,1,1
1450450.025,1,1
1450850.025,1,1
1451650.025,1,1
1453250.025,1,1
1456450.025,1,1
1462850.025,1,1
1470000,1,1
1470100,1,1
1470300,1,1
1470700,1,1
1471500,1,1
1473100,1,1
1475000,1,1
1475100,1,0
1475300,1,0
1475700,1,0
1476500,1,0
1478100,1,0
1481300,1,0
1487700,1,0
1500000,1,0
1500050.025,1,0.50025000050061874
1500100,1,1
1500150.025,1,1
1500250,0,1
1500250.025,0,1
1500450.025,0,1
1500850.025,0,1
1501650.025,0,1
1503250.025,0,1
1506450.025,0,1
1512850.025,0,1
1520000,0,1
1520050.025,0,1
1520100,0,1
1520150.025,0,1
1520250.025,0,1
1520450.025,0,1
1520850.025,0,1
1521650.025,0,1
1523250.025,0,1
1525000,0,1
1525100,0,0
1525300,0,0
1525700,0,0
1526500,0,0
1528100,0,0
1531300,0,0
1537700,0,0
1550000,0,0
1550050.025,0,0.50025000050061874
1550100,0,1
1550150.025,0,1
1550250,1,1
1550250.025,1,1
1550450.025,1,1
1550850.025,1,1
1551650.025,1,1
1553250.025,1,1
1556450.025,1,1
1560000,1,1
1560050.025,1,1
1560100,1,1
1560150.025,1,1
1560250.025,1,1
1560450.025,1,1
1560850.025,1,1
1561650.025,1,1
1563250.025,1,1
1566450.025,1,1
1572850.025,1,1
1575000,1,1
1575100,1,0
1575300,1,0
1575700,1,0
1576500,1,0
1578100,1,0
1581300,1,0
1587700,1,0
1600000,1,0
1600050.025,1,0.50025000050061874
1600100,1,1
1600150.025,1,1
1600250,0,1
1600250.025,0,1
1600450.025,0,1
1600850.025,0,1
1601650.025,0,1
1603250.025,0,1
1606450.025,0,1
1612850.025,0,1
1620000,0,1
1620050.025,0,1
1620100,0,1
1620150.025,0,1
1620250.025,0,1
1620450.025,0,1
1620850.025,0,1
1621650.025,0,1
1623250.025,0,1
1625000,0,1
1625100,0,0
1625300,0,0
1625700,0,0
1626500,0,0
1628100,0,0
1630000,0,0
1630100,0,0
1630300,0,0
1630700,0,0
1631500,0,0
1633100,0,0
1636300,0,0
1640000,0,0
1640050.025,0,0
1640100,0,0
1640150.025,0,0
1640250.025,0,0
1640450.025,0,0
1640850.025,0,0
1641650.025,0,0
1643250.025,0,0
1646450.025,0,0
1650000,0,0
1650050.025,0,0.50025000050061874
1650100,0,1
1650199.9499999,0,0.99999999999999989
1650399.8499996,0,1
1650799.6499992,0,1
1651599.2499984,0,1
1653198.4499968,0,1
1656396.8499936,0,1
1660000,0,1
1660050.025,0,1
1660100,0,1
1660150.025,0,1
1660250.025,0,1
1660450.025,0,1
1660850.025,0,1
1661650.025,0,1
1663250.025,0,1
1666450.025,0,1
1670000,0,1
1670100,0,1
1670300,0,1
1670700,0,1
1671500,0,1
1673100,0,1
1675000,0,1
1675100,0,0
1675300,0,0
1675700,0,0
1676500,0,0
1678100,0,0
1681300,0,0
1687700,0,0
1700000,0,0
1700050.025,0,0.50025000050061874
1700100,0,1
1700150.025,0,1
1700250,1,1
1700250.025,1,1
1700450.025,1,1
1700850.025,1,1
1701650.025,1,1
1703250.025,1,1
1706450.025,1,1
1710000,1,1
1710050.025,1,1
1710100,1,1
1710150.025,1,1
1710250.025,1,1
1710450.025,1,1
